l omega Q C MMass
2 1.860673608815453 0.4406020223107135 0.47062763711700656 0.010647377468256437
3 2.148313887859056 0.4232839440796649 0.31801393871173556 0.0057484991866031685
4 2.387879522836593 0.4070482112145884 0.24090627311305168 0.0036207492666032208
5 2.599013391501034 0.39322925064037434 0.194136022232058 0.002491379713729195
6 2.790726523764144 0.3816056947515914 0.1626572777015459 0.001817331365382177
7 2.968005203013805 0.37177590172708486 0.1399924209984712 0.0013823587867853018
8 3.133952463855204 0.36338605833703824 0.1228814057511179 0.00108541994445785
9 3.290661208947375 0.35615699003271695 0.10950020879655024 0.0008738582573022596
10 3.43962740883447 0.3498734723020386 0.098746780097805 0.0007179531965800963
