rp_o_rt dE dL mkx
2.369878159035072 0.0030585131555205835 0.0031513246254200656 0.0004026300279479808
2.5281840055168185 0.0022632938277750204 0.00241949569084423 0.00022641496938000105
2.6970645479738655 0.0016326228124780452 0.0017954280689278237 0.0001222115390665156
2.877226167108224 0.0011361423732291582 0.0012770778167894964 6.523488499435588e-05
3.06942242925233 0.0007558985447719419 0.0008642197332210243 2.9356571236790683e-05
3.2744572383290516 0.0004769212036715298 0.000552408247762655 1.1344338014593378e-05
3.4931881983599338 0.00028312811292594404 0.00033112069067909786 2.5716316769675333e-06
3.7265302005861467 0.00015692884910483692 0.00018474701710149703 0.0
3.975459250206056 8.055921607336054e-05 9.520994538652218e-05 0.0
4.241016548735614 3.79949519037375e-05 4.4959276760870156e-05 0.0
4.5243128490669555 1.6322775182466388e-05 1.929079128015339e-05 0.0
