                                                                                                                                                                                                                                                                
                        1                         2                         3                         4
                        l                      n_pg                 Re(omega)                 Im(omega)
                        4                         0   0.2387879522836593E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5                         6
                        x                  Re(xi_r)                  Im(xi_r)                  Re(xi_h)                  Im(xi_h)                       rho
  0.1000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.4228070765606106E-003   0.0000000000000000E+000   0.2404698720890962E+001
  0.1005120996089091E+000   0.4286106315331750E-004   0.0000000000000000E+000   0.4207492764072091E-003   0.0000000000000000E+000   0.2370000000000001E+001
  0.1006125112969305E+000   0.5118129817436807E-004   0.0000000000000000E+000   0.4203763197437280E-003   0.0000000000000000E+000   0.2368379896000000E+001
  0.1007129229849519E+000   0.5947495028098410E-004   0.0000000000000000E+000   0.4200123573411291E-003   0.0000000000000000E+000   0.2366762909000000E+001
  0.1008133346729733E+000   0.6774228242172505E-004   0.0000000000000000E+000   0.4196573674595012E-003   0.0000000000000000E+000   0.2365149030000000E+001
  0.1009137463609947E+000   0.7598355636685661E-004   0.0000000000000000E+000   0.4193112973082079E-003   0.0000000000000000E+000   0.2363538247000000E+001
  0.1010141580490161E+000   0.8419903173920672E-004   0.0000000000000000E+000   0.4189740941468674E-003   0.0000000000000000E+000   0.2361930552000000E+001
  0.1011145697370375E+000   0.9238896604602064E-004   0.0000000000000000E+000   0.4186457069572220E-003   0.0000000000000000E+000   0.2360325932999999E+001
  0.1012149814250589E+000   0.1005536146932086E-003   0.0000000000000000E+000   0.4183260835055776E-003   0.0000000000000000E+000   0.2358724381000000E+001
  0.1013153931130803E+000   0.1086932310001099E-003   0.0000000000000000E+000   0.4180151732708336E-003   0.0000000000000000E+000   0.2357125887000000E+001
  0.1014158048011017E+000   0.1168080662253109E-003   0.0000000000000000E+000   0.4177129253470478E-003   0.0000000000000000E+000   0.2355530438999999E+001
  0.1015162164891231E+000   0.1248983695799440E-003   0.0000000000000000E+000   0.4174192896944113E-003   0.0000000000000000E+000   0.2353938029000000E+001
  0.1016166281771445E+000   0.1329643882527037E-003   0.0000000000000000E+000   0.4171342167163762E-003   0.0000000000000000E+000   0.2352348645999999E+001
  0.1017170398651659E+000   0.1410063674278115E-003   0.0000000000000000E+000   0.4168576572555234E-003   0.0000000000000000E+000   0.2350762281000000E+001
  0.1018174515531873E+000   0.1490245503106336E-003   0.0000000000000000E+000   0.4165895630060171E-003   0.0000000000000000E+000   0.2349178923000000E+001
  0.1019178632412087E+000   0.1570191781292498E-003   0.0000000000000000E+000   0.4163298844265766E-003   0.0000000000000000E+000   0.2347598564000000E+001
  0.1020182749292301E+000   0.1649904901644334E-003   0.0000000000000000E+000   0.4160785749022798E-003   0.0000000000000000E+000   0.2346021194000000E+001
  0.1021186866172515E+000   0.1729387237734319E-003   0.0000000000000000E+000   0.4158355861589210E-003   0.0000000000000000E+000   0.2344446802000000E+001
  0.1022190983052729E+000   0.1808641143911596E-003   0.0000000000000000E+000   0.4156008711743767E-003   0.0000000000000000E+000   0.2342875380000001E+001
  0.1023195099932943E+000   0.1887668955594845E-003   0.0000000000000000E+000   0.4153743833414462E-003   0.0000000000000000E+000   0.2341306917999999E+001
  0.1024199216813157E+000   0.1966472989501129E-003   0.0000000000000000E+000   0.4151560768791217E-003   0.0000000000000000E+000   0.2339741407000000E+001
  0.1025203333693371E+000   0.2045055543711612E-003   0.0000000000000000E+000   0.4149459051680325E-003   0.0000000000000000E+000   0.2338178836000000E+001
  0.1026207450573585E+000   0.2123418897846402E-003   0.0000000000000000E+000   0.4147438232382037E-003   0.0000000000000000E+000   0.2336619197000001E+001
  0.1027211567453799E+000   0.2201565313350332E-003   0.0000000000000000E+000   0.4145497861038994E-003   0.0000000000000000E+000   0.2335062480000000E+001
  0.1028215684334013E+000   0.2279497033543765E-003   0.0000000000000000E+000   0.4143637487610626E-003   0.0000000000000000E+000   0.2333508676000000E+001
  0.1029219801214227E+000   0.2357216283853286E-003   0.0000000000000000E+000   0.4141856674270356E-003   0.0000000000000000E+000   0.2331957775000000E+001
  0.1030223918094441E+000   0.2434725271972736E-003   0.0000000000000000E+000   0.4140154978790347E-003   0.0000000000000000E+000   0.2330409769000000E+001
  0.1031228034974655E+000   0.2512026188033250E-003   0.0000000000000000E+000   0.4138531971077041E-003   0.0000000000000000E+000   0.2328864647000001E+001
  0.1032232151854869E+000   0.2589121204715286E-003   0.0000000000000000E+000   0.4136987212434669E-003   0.0000000000000000E+000   0.2327322402000000E+001
  0.1033236268735083E+000   0.2666012477406073E-003   0.0000000000000000E+000   0.4135520280365730E-003   0.0000000000000000E+000   0.2325783023999999E+001
  0.1034240385615297E+000   0.2742702144471425E-003   0.0000000000000000E+000   0.4134130751976490E-003   0.0000000000000000E+000   0.2324246502999999E+001
  0.1035244502495511E+000   0.2819192327296092E-003   0.0000000000000000E+000   0.4132818203950872E-003   0.0000000000000000E+000   0.2322712831000000E+001
  0.1036248619375725E+000   0.2895485130502173E-003   0.0000000000000000E+000   0.4131582224916282E-003   0.0000000000000000E+000   0.2321181998000000E+001
  0.1037252736255939E+000   0.2971582642104490E-003   0.0000000000000000E+000   0.4130422398875686E-003   0.0000000000000000E+000   0.2319653996000000E+001
  0.1038256853136153E+000   0.3047486933603010E-003   0.0000000000000000E+000   0.4129338317574522E-003   0.0000000000000000E+000   0.2318128816000001E+001
  0.1039260970016367E+000   0.3123200060251470E-003   0.0000000000000000E+000   0.4128329580460234E-003   0.0000000000000000E+000   0.2316606448000000E+001
  0.1040265086896581E+000   0.3198724061096216E-003   0.0000000000000000E+000   0.4127395778136626E-003   0.0000000000000000E+000   0.2315086885000000E+001
  0.1041269203776795E+000   0.3274060959124583E-003   0.0000000000000000E+000   0.4126536517104788E-003   0.0000000000000000E+000   0.2313570116000000E+001
  0.1042273320657009E+000   0.3349212761524291E-003   0.0000000000000000E+000   0.4125751403212158E-003   0.0000000000000000E+000   0.2312056134000000E+001
  0.1043277437537223E+000   0.3424181459713233E-003   0.0000000000000000E+000   0.4125040041627236E-003   0.0000000000000000E+000   0.2310544929000000E+001
  0.1044281554417437E+000   0.3498969029549388E-003   0.0000000000000000E+000   0.4124402049183785E-003   0.0000000000000000E+000   0.2309036491999999E+001
  0.1045285671297651E+000   0.3573577431412760E-003   0.0000000000000000E+000   0.4123837033724482E-003   0.0000000000000000E+000   0.2307530815999999E+001
  0.1046289788177865E+000   0.3648008610399278E-003   0.0000000000000000E+000   0.4123344622940369E-003   0.0000000000000000E+000   0.2306027891999999E+001
  0.1047293905058079E+000   0.3722264496514591E-003   0.0000000000000000E+000   0.4122924435469474E-003   0.0000000000000000E+000   0.2304527710000000E+001
  0.1048298021938293E+000   0.3796347004705276E-003   0.0000000000000000E+000   0.4122576097366056E-003   0.0000000000000000E+000   0.2303030262000000E+001
  0.1049302138818507E+000   0.3870258035004920E-003   0.0000000000000000E+000   0.4122299233823152E-003   0.0000000000000000E+000   0.2301535539999999E+001
  0.1050306255698721E+000   0.3943999472718831E-003   0.0000000000000000E+000   0.4122093481509292E-003   0.0000000000000000E+000   0.2300043534999999E+001
  0.1051310372578935E+000   0.4017573188557771E-003   0.0000000000000000E+000   0.4121958472049594E-003   0.0000000000000000E+000   0.2298554238000000E+001
  0.1052314489459149E+000   0.4090981038712167E-003   0.0000000000000000E+000   0.4121893844364844E-003   0.0000000000000000E+000   0.2297067642000000E+001
  0.1053318606339363E+000   0.4164224865098959E-003   0.0000000000000000E+000   0.4121899244638954E-003   0.0000000000000000E+000   0.2295583736999999E+001
