                                                                                                                                                                                                                                                                
                        1                         2                         3                         4
                        l                      n_pg                 Re(omega)                 Im(omega)
                       10                         0   0.3509239590142875E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5                         6
                        x                  Re(xi_r)                  Im(xi_r)                  Re(xi_h)                  Im(xi_h)                       rho
  0.1000000000000000E+000  -0.1789090487391798E-027   0.0000000000000000E+000   0.2248427193282293E-009   0.0000000000000000E+000   0.1043237567491721E+002
  0.1000001000001000E+000   0.2468793950042147E-013   0.0000000000000000E+000   0.2248424950522959E-009   0.0000000000000000E+000   0.1043235808000000E+002
  0.1002991032991033E+000   0.7352478771546968E-010   0.0000000000000000E+000   0.2242803884257798E-009   0.0000000000000000E+000   0.1040648763000000E+002
  0.1005981065981066E+000   0.1464027547923140E-009   0.0000000000000000E+000   0.2239389344812986E-009   0.0000000000000000E+000   0.1038071162000000E+002
  0.1008971098971099E+000   0.2187363954306416E-009   0.0000000000000000E+000   0.2238147199678503E-009   0.0000000000000000E+000   0.1035502924000000E+002
  0.1011961131961132E+000   0.2906013771712085E-009   0.0000000000000000E+000   0.2239043204418463E-009   0.0000000000000000E+000   0.1032943970000000E+002
  0.1014951164951165E+000   0.3620713691820540E-009   0.0000000000000000E+000   0.2242045717784592E-009   0.0000000000000000E+000   0.1030394222000000E+002
  0.1017941196941197E+000   0.4332181325746381E-009   0.0000000000000000E+000   0.2247125607312925E-009   0.0000000000000000E+000   0.1027853602000000E+002
  0.1020931229931230E+000   0.5041117242642472E-009   0.0000000000000000E+000   0.2254256152376223E-009   0.0000000000000000E+000   0.1025322036000000E+002
  0.1023921262921263E+000   0.5748204584375448E-009   0.0000000000000000E+000   0.2263412977220717E-009   0.0000000000000000E+000   0.1022799447000000E+002
  0.1026911295911296E+000   0.6454111015681757E-009   0.0000000000000000E+000   0.2274573948344078E-009   0.0000000000000000E+000   0.1020285761000000E+002
  0.1029901328901329E+000   0.7159489437637285E-009   0.0000000000000000E+000   0.2287719114926927E-009   0.0000000000000000E+000   0.1017780905000000E+002
  0.1032891361891362E+000   0.7864978899502574E-009   0.0000000000000000E+000   0.2302830620009444E-009   0.0000000000000000E+000   0.1015284808000000E+002
  0.1035881394881395E+000   0.8571205470416413E-009   0.0000000000000000E+000   0.2319892642764053E-009   0.0000000000000000E+000   0.1012797398000000E+002
  0.1038871427871428E+000   0.9278783076832562E-009   0.0000000000000000E+000   0.2338891333150838E-009   0.0000000000000000E+000   0.1010318605000000E+002
  0.1041861460861461E+000   0.9988314302247147E-009   0.0000000000000000E+000   0.2359814738330611E-009   0.0000000000000000E+000   0.1007848360000000E+002
  0.1044851493851494E+000   0.1070039115533212E-008   0.0000000000000000E+000   0.2382652762701186E-009   0.0000000000000000E+000   0.1005386594000000E+002
  0.1047841525841526E+000   0.1141559556695092E-008   0.0000000000000000E+000   0.2407397085785461E-009   0.0000000000000000E+000   0.1002933239000000E+002
  0.1050831558831559E+000   0.1213450105265873E-008   0.0000000000000000E+000   0.2434041149910229E-009   0.0000000000000000E+000   0.1000488230000000E+002
  0.1053821591821592E+000   0.1285767195583319E-008   0.0000000000000000E+000   0.2462580065316815E-009   0.0000000000000000E+000   0.9980514998000000E+001
  0.1056811624811625E+000   0.1358566505526824E-008   0.0000000000000000E+000   0.2493010592875476E-009   0.0000000000000000E+000   0.9956229844999998E+001
