rp_o_rt dE dL mkx
2.369878159035072 0.0006631928257572404 0.0006101326065469521 0.0001350080495753499
2.5281840055168185 0.0004688105191734513 0.00044116601254977627 9.488242693878926e-05
2.6970645479738655 0.00031786780709957765 0.0003046956891848569 5.53361638215457e-05
2.877226167108224 0.00020516616043519297 0.00019967358984795803 2.767390844738934e-05
3.06942242925233 0.0001251228774390453 0.00012331620150376612 1.1360662263221605e-05
3.2744572383290516 7.156308426974218e-05 7.126798676749564e-05 3.829268046116631e-06
3.4931881983599338 3.809142029743792e-05 3.825285695847476e-05 6.823454126784008e-07
3.7265302005861467 1.871420910989953e-05 1.8915119045748402e-05 0.0
3.975459250206056 8.413442982916415e-06 8.541641209237889e-06 0.0
4.241016548735614 3.4288887020616706e-06 3.489672058167099e-06 0.0
4.5243128490669555 1.2542999605445955e-06 1.2769143994391246e-06 0.0
