r xir xih rho dE_dr(normalized)
0.1 1.3660959877339933e-24 7.856327149751708e-07 10.43237567491721 3.605868705813193e-12
0.1000001000001 4.3847966338485904e-11 7.856319313016773e-07 10.43235808 3.6058626424535586e-12
0.1002991032991033 1.3055733589052358e-07 7.834835395406762e-07 10.40648763 3.600484055392348e-12
0.1005981065981066 2.5990394913589105e-07 7.817331748244049e-07 10.38071162 3.602199795980997e-12
0.1008971098971099 3.88161256866319e-07 7.803749299864398e-07 10.35502924 3.610916760021828e-12
0.1011961131961132 5.154047159528877e-07 7.794022211485534e-07 10.3294397 3.626548037270669e-12
0.1014951164951165 6.417077905060538e-07 7.788087610416688e-07 10.30394222 3.6490213798713075e-12
0.1017941196941197 7.671419893680277e-07 7.785885499452753e-07 10.27853602 3.678278678112912e-12
0.102093122993123 8.917771094571625e-07 7.787358609580268e-07 10.25322036 3.714275507330695e-12
0.1023921262921263 1.01568105746811e-06 7.792452411440937e-07 10.22799447 3.756980681702844e-12
0.1026911295911296 1.1389200885988093e-06 7.801114926589245e-07 10.20285761 3.806375835124818e-12
0.1029901328901329 1.2615588320440593e-06 7.813296707754523e-07 10.17780905 3.862455095951288e-12
0.1032891361891362 1.3836603561509982e-06 7.82895070187129e-07 10.15284808 3.9252247051714985e-12
0.1035881394881395 1.5052862308797812e-06 7.848032209984924e-07 10.12797398 3.994702737638806e-12
0.1038871427871428 1.6264965883471113e-06 7.870498811408606e-07 10.10318605 4.070918839042474e-12
0.1041861460861461 1.7473501806243468e-06 7.896310251471867e-07 10.0784836 4.153913937180654e-12
0.1044851493851494 1.8679044356314055e-06 7.925428434398528e-07 10.05386594 4.243740077054738e-12
0.1047841525841526 1.988215470766599e-06 7.957817284035493e-07 10.02933239 4.3404601330786945e-12
0.1050831558831559 2.10833830519751e-06 7.993442745442286e-07 10.0048823 4.444147811570687e-12
0.1053821591821592 2.228326668302897e-06 8.032272672210163e-07 9.980514998 4.5548872771320276e-12
0.1056811624811625 2.34823320878262e-06 8.074276799567659e-07 9.956229844999998 4.672773179703053e-12
0.1059801657801658 2.468109500419556e-06 8.119426663010637e-07 9.932026197999999 4.797910481243193e-12
0.1062791690791691 2.5880060866445877e-06 8.167695575540315e-07 9.907903424000002 4.930414405592174e-12
0.1065781723781724 2.707972523393118e-06 8.219058534230095e-07 9.883860901 5.070410328036434e-12
0.1068771756771757 2.8280574202068406e-06 8.273492193604826e-07 9.859898012000002 5.218033744339842e-12
0.107176178976179 2.948308480215727e-06 8.330974825147305e-07 9.836014150000002 5.373430247335345e-12
0.1074751822751823 3.068772538384654e-06 8.391486237228437e-07 9.812208714999999 5.536755472268518e-12
0.1077741854741855 3.1894955580997274e-06 8.455007752207261e-07 9.788481114000001 5.7081750770726234e-12
