                                                                                                                                                                                                                                                                
                        1                         2                         3                         4
                        l                      n_pg                 Re(omega)                 Im(omega)
                        6                         0   0.2949968366407862E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5                         6
                        x                  Re(xi_r)                  Im(xi_r)                  Re(xi_h)                  Im(xi_h)                       rho
  0.1000000000000000E+000   0.9124347607009885E-024   0.0000000000000000E+000   0.2220217420410792E-005   0.0000000000000000E+000   0.1043237567491721E+002
  0.1000001000001000E+000   0.9283508528252000E-010   0.0000000000000000E+000   0.2220215205714642E-005   0.0000000000000000E+000   0.1043235808000000E+002
  0.1002991032991033E+000   0.2764000601032468E-006   0.0000000000000000E+000   0.2214007956009690E-005   0.0000000000000000E+000   0.1040648763000000E+002
  0.1005981065981066E+000   0.5502012903529702E-006   0.0000000000000000E+000   0.2208652447826973E-005   0.0000000000000000E+000   0.1038071162000000E+002
  0.1008971098971099E+000   0.8216275394463829E-006   0.0000000000000000E+000   0.2204136633045222E-005   0.0000000000000000E+000   0.1035502924000000E+002
  0.1011961131961132E+000   0.1090806312260958E-005   0.0000000000000000E+000   0.2200446239187247E-005   0.0000000000000000E+000   0.1032943970000000E+002
  0.1014951164951165E+000   0.1357861804558711E-005   0.0000000000000000E+000   0.2197567531675562E-005   0.0000000000000000E+000   0.1030394222000000E+002
  0.1017941196941197E+000   0.1622914931988319E-005   0.0000000000000000E+000   0.2195487299831741E-005   0.0000000000000000E+000   0.1027853602000000E+002
  0.1020931229931230E+000   0.1886083796198746E-005   0.0000000000000000E+000   0.2194192823827694E-005   0.0000000000000000E+000   0.1025322036000000E+002
  0.1023921262921263E+000   0.2147483262209966E-005   0.0000000000000000E+000   0.2193671890886285E-005   0.0000000000000000E+000   0.1022799447000000E+002
  0.1026911295911296E+000   0.2407225419055954E-005   0.0000000000000000E+000   0.2193912749790020E-005   0.0000000000000000E+000   0.1020285761000000E+002
  0.1029901328901329E+000   0.2665419591711630E-005   0.0000000000000000E+000   0.2194904114894395E-005   0.0000000000000000E+000   0.1017780905000000E+002
  0.1032891361891362E+000   0.2922172438694463E-005   0.0000000000000000E+000   0.2196635136281197E-005   0.0000000000000000E+000   0.1015284808000000E+002
  0.1035881394881395E+000   0.3177588045728444E-005   0.0000000000000000E+000   0.2199095396772598E-005   0.0000000000000000E+000   0.1012797398000000E+002
  0.1038871427871428E+000   0.3431768017023459E-005   0.0000000000000000E+000   0.2202274898499937E-005   0.0000000000000000E+000   0.1010318605000000E+002
  0.1041861460861461E+000   0.3684811562348896E-005   0.0000000000000000E+000   0.2206164038932878E-005   0.0000000000000000E+000   0.1007848360000000E+002
  0.1044851493851494E+000   0.3936815581596726E-005   0.0000000000000000E+000   0.2210753616005576E-005   0.0000000000000000E+000   0.1005386594000000E+002
  0.1047841525841526E+000   0.4187874662616671E-005   0.0000000000000000E+000   0.2216034797244349E-005   0.0000000000000000E+000   0.1002933239000000E+002
  0.1050831558831559E+000   0.4438081494691047E-005   0.0000000000000000E+000   0.2221999121572585E-005   0.0000000000000000E+000   0.1000488230000000E+002
  0.1053821591821592E+000   0.4687526440707958E-005   0.0000000000000000E+000   0.2228638481531699E-005   0.0000000000000000E+000   0.9980514998000000E+001
  0.1056811624811625E+000   0.4936297946759934E-005   0.0000000000000000E+000   0.2235945116684406E-005   0.0000000000000000E+000   0.9956229844999998E+001
  0.1059801657801658E+000   0.5184482528337495E-005   0.0000000000000000E+000   0.2243911597748595E-005   0.0000000000000000E+000   0.9932026197999999E+001
  0.1062791690791691E+000   0.5432164838654084E-005   0.0000000000000000E+000   0.2252530825515923E-005   0.0000000000000000E+000   0.9907903424000002E+001
  0.1065781723781724E+000   0.5679427734443247E-005   0.0000000000000000E+000   0.2261796009971596E-005   0.0000000000000000E+000   0.9883860901000000E+001
  0.1068771756771757E+000   0.5926352339087210E-005   0.0000000000000000E+000   0.2271700667671997E-005   0.0000000000000000E+000   0.9859898012000002E+001
  0.1071761789761790E+000   0.6173018104342995E-005   0.0000000000000000E+000   0.2282238615036132E-005   0.0000000000000000E+000   0.9836014150000002E+001
  0.1074751822751823E+000   0.6419502869350978E-005   0.0000000000000000E+000   0.2293403950573881E-005   0.0000000000000000E+000   0.9812208714999999E+001
  0.1077741854741855E+000   0.6665882835524969E-005   0.0000000000000000E+000   0.2305191054525576E-005   0.0000000000000000E+000   0.9788481114000001E+001
  0.1080731887731888E+000   0.6912232951325686E-005   0.0000000000000000E+000   0.2317594582619143E-005   0.0000000000000000E+000   0.9764830763000003E+001
  0.1083721920721921E+000   0.7158626470822131E-005   0.0000000000000000E+000   0.2330609445499176E-005   0.0000000000000000E+000   0.9741257083999997E+001
  0.1086711953711954E+000   0.7405135335596453E-005   0.0000000000000000E+000   0.2344230818780320E-005   0.0000000000000000E+000   0.9717759507999999E+001
  0.1089701986701987E+000   0.7651830142102469E-005   0.0000000000000000E+000   0.2358454120996246E-005   0.0000000000000000E+000   0.9694337472000001E+001
  0.1092692019692020E+000   0.7898780189288250E-005   0.0000000000000000E+000   0.2373275011187361E-005   0.0000000000000000E+000   0.9670990421000001E+001
