l omega Q C MMass
2 2.191343343062687 0.23639806313958267 0.39466661056710256 0.0005518422602796571
3 2.435466058493397 0.175908569635878 0.27534900750278246 0.0002775360864745179
4 2.624211911968865 0.1466989479220164 0.21642346952264688 0.00017807497011363874
5 2.792923877163802 0.12877919670750085 0.17911025098708352 0.00012539460466746527
6 2.949968366407862 0.11660013919717062 0.152919311381103 9.331510160995669e-05
7 3.098673668024754 0.10782865356936193 0.13341116158165972 7.21957280470168e-05
8 3.240785655928474 0.10126830613621049 0.11828615112589021 5.753837589324946e-05
9 3.377390120778585 0.09623021393788937 0.10620771945504379 4.695659350686466e-05
10 3.509239590142875 0.09228604895490476 0.09633810177085851 3.907504839757492e-05
