                                                                                                                                                                                                                                                                
                        1                         2                         3                         4
                        l                      n_pg                 Re(omega)                 Im(omega)
                        2                         0   0.2191343343062687E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5                         6
                        x                  Re(xi_r)                  Im(xi_r)                  Re(xi_h)                  Im(xi_h)                       rho
  0.1000000000000000E+000   0.1627460506691080E-017   0.0000000000000000E+000   0.3336421685421904E-001   0.0000000000000000E+000   0.1043237567491721E+002
  0.1000001000001000E+000   0.1923046033924515E-006   0.0000000000000000E+000   0.3336418357237141E-001   0.0000000000000000E+000   0.1043235808000000E+002
  0.1002991032991033E+000   0.5724031989970367E-003   0.0000000000000000E+000   0.3326561488191081E-001   0.0000000000000000E+000   0.1040648763000000E+002
  0.1005981065981066E+000   0.1139101545421501E-002   0.0000000000000000E+000   0.3316928310654021E-001   0.0000000000000000E+000   0.1038071162000000E+002
  0.1008971098971099E+000   0.1700383308167446E-002   0.0000000000000000E+000   0.3307519362604280E-001   0.0000000000000000E+000   0.1035502924000000E+002
  0.1011961131961132E+000   0.2256342487859270E-002   0.0000000000000000E+000   0.3298331073054592E-001   0.0000000000000000E+000   0.1032943970000000E+002
  0.1014951164951165E+000   0.2807071274300392E-002   0.0000000000000000E+000   0.3289359938833723E-001   0.0000000000000000E+000   0.1030394222000000E+002
  0.1017941196941197E+000   0.3352659905252192E-002   0.0000000000000000E+000   0.3280602530277568E-001   0.0000000000000000E+000   0.1027853602000000E+002
  0.1020931229931230E+000   0.3893197432051874E-002   0.0000000000000000E+000   0.3272055457599758E-001   0.0000000000000000E+000   0.1025322036000000E+002
  0.1023921262921263E+000   0.4428770663852958E-002   0.0000000000000000E+000   0.3263715429182637E-001   0.0000000000000000E+000   0.1022799447000000E+002
  0.1026911295911296E+000   0.4959464937352878E-002   0.0000000000000000E+000   0.3255579198284160E-001   0.0000000000000000E+000   0.1020285761000000E+002
  0.1029901328901329E+000   0.5485363969259064E-002   0.0000000000000000E+000   0.3247643591755876E-001   0.0000000000000000E+000   0.1017780905000000E+002
  0.1032891361891362E+000   0.6006549891842831E-002   0.0000000000000000E+000   0.3239905485866029E-001   0.0000000000000000E+000   0.1015284808000000E+002
  0.1035881394881395E+000   0.6523103286737772E-002   0.0000000000000000E+000   0.3232361821267749E-001   0.0000000000000000E+000   0.1012797398000000E+002
  0.1038871427871428E+000   0.7035103219858923E-002   0.0000000000000000E+000   0.3225009601683143E-001   0.0000000000000000E+000   0.1010318605000000E+002
  0.1041861460861461E+000   0.7542627273471563E-002   0.0000000000000000E+000   0.3217845876477383E-001   0.0000000000000000E+000   0.1007848360000000E+002
  0.1044851493851494E+000   0.8045751578683437E-002   0.0000000000000000E+000   0.3210867765258493E-001   0.0000000000000000E+000   0.1005386594000000E+002
  0.1047841525841526E+000   0.8544550681194413E-002   0.0000000000000000E+000   0.3204072434121281E-001   0.0000000000000000E+000   0.1002933239000000E+002
  0.1050831558831559E+000   0.9039098236394707E-002   0.0000000000000000E+000   0.3197457094455705E-001   0.0000000000000000E+000   0.1000488230000000E+002
  0.1053821591821592E+000   0.9529466038718770E-002   0.0000000000000000E+000   0.3191019021224861E-001   0.0000000000000000E+000   0.9980514998000000E+001
  0.1056811624811625E+000   0.1001572472002189E-001   0.0000000000000000E+000   0.3184755538857325E-001   0.0000000000000000E+000   0.9956229844999998E+001
  0.1059801657801658E+000   0.1049794360992422E-001   0.0000000000000000E+000   0.3178664017033307E-001   0.0000000000000000E+000   0.9932026197999999E+001
  0.1062791690791691E+000   0.1097619076393405E-001   0.0000000000000000E+000   0.3172741882381690E-001   0.0000000000000000E+000   0.9907903424000002E+001
  0.1065781723781724E+000   0.1145053299054972E-001   0.0000000000000000E+000   0.3166986601536937E-001   0.0000000000000000E+000   0.9883860901000000E+001
  0.1068771756771757E+000   0.1192103587695324E-001   0.0000000000000000E+000   0.3161395689677826E-001   0.0000000000000000E+000   0.9859898012000002E+001
  0.1071761789761790E+000   0.1238776381558739E-001   0.0000000000000000E+000   0.3155966712700848E-001   0.0000000000000000E+000   0.9836014150000002E+001
  0.1074751822751823E+000   0.1285078002893165E-001   0.0000000000000000E+000   0.3150697273610696E-001   0.0000000000000000E+000   0.9812208714999999E+001
  0.1077741854741855E+000   0.1331014644122651E-001   0.0000000000000000E+000   0.3145585029990042E-001   0.0000000000000000E+000   0.9788481114000001E+001
  0.1080731887731888E+000   0.1376592431566109E-001   0.0000000000000000E+000   0.3140627666848513E-001   0.0000000000000000E+000   0.9764830763000003E+001
  0.1083721920721921E+000   0.1421817335529429E-001   0.0000000000000000E+000   0.3135822920957373E-001   0.0000000000000000E+000   0.9741257083999997E+001
  0.1086711953711954E+000   0.1466695234296558E-001   0.0000000000000000E+000   0.3131168575692830E-001   0.0000000000000000E+000   0.9717759507999999E+001
  0.1089701986701987E+000   0.1511231900930149E-001   0.0000000000000000E+000   0.3126662447143248E-001   0.0000000000000000E+000   0.9694337472000001E+001
